da_neurons,NPC_orStemLike,mature_neurons,excitatory_neurons,inhbitory_neurons,astrocytes,oligodendrocytes,radial_glia,epithelial,microglia
TH,DCX,RBFOX3,GRIA2,GAD1,GFAP,MBP,PTPRC,HES1,IBA1
SLC6A3,NEUROD1,SYP,GRIA1,GAD2,S100B,MOG,AIF1,HES5,P2RY12
SLC18A2,TBR1,VAMP1,GRIA4,GAT1,AQP4,OLIG1,ADGRE1,SOX2,P2RY13
SOX6,PCNA,VAMP2,GRIN1,PVALB,APOE,OLIG2,VIM,SOX10,TREM119
NDNF,MKI67,TUBB3,GRIN2B,GABR2,SOX9,SOX10,TNC,NES,GPR34
SNCG,SOX2,SYT1,GRIN2A,GABR1,SLC1A3,,PTPRZ1,CDH1,SIGLECH
ALDH1A1,NES,BSN,GRIN3A,GBRR1,,,FAM107A,NOTCH1,TREM2
CALB1,PAX6,HOMER1,GRIN3,GABRB2,,,HOPX,,CX3CR1
TACR2,,SLC17A6,GRIP1,GABRB1,,,LIFR,,FCRLS
SLC17A6,,,CAMK2A,GABRB3,,,ITGB5,,OLFML3
SLC32A1,,,,GABRA6,,,IL6ST,,HEXB
OTX2,,,,GABRA1,,,SLC1A3,,TGFBR1
GRP,,,,GABRA4,,,,,SALL1
LPL,,,,TRAK2,,,,,MERTK
CCK,,,,,,,,,PROS1
VIP,,,,,,,,,
